,Path,Class,Length
0,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0011.npy,0,966
1,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0013.npy,0,658
2,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0019.npy,0,414
3,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0034.npy,0,974
4,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0038.npy,0,872
5,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0046.npy,0,911
6,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0058.npy,0,972
7,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0063.npy,0,905
8,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0076.npy,0,1041
9,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0077.npy,0,860
10,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0088.npy,0,901
11,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0094.npy,0,401
12,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0111.npy,0,862
13,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0113.npy,0,940
14,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0119.npy,0,887
15,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0120.npy,0,572
16,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0123.npy,0,719
17,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0127.npy,0,963
18,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0129.npy,0,927
19,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1006\1006_135212_1006-135212-0130.npy,0,992
20,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0011.npy,0,773
21,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0017.npy,0,977
22,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0024.npy,0,889
23,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0033.npy,0,1032
24,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0045.npy,0,919
25,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0049.npy,0,908
26,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0063.npy,0,164
27,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0067.npy,0,1017
28,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0077.npy,0,400
29,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0078.npy,0,387
30,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0081.npy,0,707
31,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0091.npy,0,461
32,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0092.npy,0,886
33,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0101.npy,0,206
34,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0102.npy,0,469
35,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0103.npy,0,206
36,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0135.npy,0,1021
37,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0139.npy,0,749
38,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0140.npy,0,942
39,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0143.npy,0,547
40,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0150.npy,0,934
41,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0154.npy,0,167
42,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0163.npy,0,349
43,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\102\102_129232_102-129232-0166.npy,0,557
44,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_123365_104-123365-0000.npy,0,941
45,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_123365_104-123365-0003.npy,0,821
46,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_123365_104-123365-0007.npy,0,541
47,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_123365_104-123365-0008.npy,0,323
48,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_129578_104-129578-0005.npy,0,775
49,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0008.npy,0,989
50,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0022.npy,0,874
51,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0037.npy,0,927
52,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0040.npy,0,831
53,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0042.npy,0,803
54,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0043.npy,0,543
55,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0047.npy,0,846
56,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0048.npy,0,1022
57,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0052.npy,0,922
58,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0062.npy,0,940
59,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132091_104-132091-0064.npy,0,228
60,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132092_104-132092-0023.npy,0,973
61,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132092_104-132092-0038.npy,0,530
62,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132092_104-132092-0045.npy,0,852
63,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\104\104_132092_104-132092-0055.npy,0,291
64,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0000.npy,0,890
65,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0001.npy,0,987
66,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0002.npy,0,968
67,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0026.npy,0,1031
68,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0045.npy,0,729
69,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0046.npy,0,586
70,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0060.npy,0,831
71,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1049\1049_133454_1049-133454-0072.npy,0,806
72,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133881_1051-133881-0002.npy,0,732
73,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133881_1051-133881-0006.npy,0,786
74,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133881_1051-133881-0020.npy,0,906
75,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133881_1051-133881-0021.npy,0,1026
76,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133881_1051-133881-0033.npy,0,248
77,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133883_1051-133883-0007.npy,0,728
78,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133883_1051-133883-0011.npy,0,659
79,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133883_1051-133883-0013.npy,0,867
80,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133883_1051-133883-0027.npy,0,975
81,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133883_1051-133883-0035.npy,0,795
82,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133883_1051-133883-0060.npy,0,164
83,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0000.npy,0,621
84,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0003.npy,0,645
85,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0007.npy,0,508
86,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0016.npy,0,885
87,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0017.npy,0,631
88,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0036.npy,0,647
89,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0037.npy,0,316
90,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0040.npy,0,286
91,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0047.npy,0,311
92,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0048.npy,0,243
93,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1051\1051_133886_1051-133886-0057.npy,0,970
94,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134593_1065-134593-0003.npy,0,941
95,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134593_1065-134593-0018.npy,0,940
96,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134593_1065-134593-0024.npy,0,1025
97,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134593_1065-134593-0025.npy,0,991
98,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134593_1065-134593-0030.npy,0,380
99,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134602_1065-134602-0023.npy,0,557
100,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134602_1065-134602-0028.npy,0,812
101,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134611_1065-134611-0005.npy,0,935
102,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134611_1065-134611-0014.npy,0,646
103,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134611_1065-134611-0018.npy,0,807
104,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134611_1065-134611-0020.npy,0,771
105,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134611_1065-134611-0023.npy,0,511
106,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134611_1065-134611-0029.npy,0,430
